categories,name,rating,review_count,location,coordinates,city
['LAN Centers'],NXT LVL Gaming,5.0,9,"{'address1': '10772 SW 24th St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['10772 SW 24th St', 'Miami, FL 33165']}","{'latitude': 25.7460073, 'longitude': -80.3690132}",Miami
['Festivals'],Hermanos Mora Arriaga - Mexican Show Band Miami - Mariachis Miam,5.0,15,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33165']}","{'latitude': 25.73054, 'longitude': -80.35323}",Miami
"['Performing Arts', 'Business Consulting', 'Specialty Schools']",Dave Aizer Public Speaking and Media Coach,5.0,5,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33304', 'country': 'US', 'state': 'FL', 'display_address': ['Fort Lauderdale, FL 33304']}","{'latitude': 26.1364994049072, 'longitude': -80.1251068115234}",Miami
"['Paint & Sip', 'Party & Event Planning', 'Venues & Event Spaces']",Creative Cove,5.0,10,"{'address1': '6998 SW 47th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33155', 'country': 'US', 'state': 'FL', 'display_address': ['6998 SW 47th St', 'Miami, FL 33155']}","{'latitude': 25.7261501801314, 'longitude': -80.3081335198582}",Miami
"['Arts & Crafts', 'Paint & Sip', 'Summer Camps']",Pinspiration - Davie,5.0,18,"{'address1': '8826 W State Rd 84', 'address2': None, 'address3': None, 'city': 'Davie', 'zip_code': '33324', 'country': 'US', 'state': 'FL', 'display_address': ['8826 W State Rd 84', 'Davie, FL 33324']}","{'latitude': 26.10108484906306, 'longitude': -80.26660566873764}",Miami
"['Life Coach', 'Psychics', 'Astrologers']",Psychic Life Coaching Consultants,5.0,5,"{'address1': '5611 Sheridan St', 'address2': '', 'address3': '', 'city': 'Hollywood', 'zip_code': '33021', 'country': 'US', 'state': 'FL', 'display_address': ['5611 Sheridan St', 'Hollywood, FL 33021']}","{'latitude': 26.03257, 'longitude': -80.20094}",Miami
"['Dance Studios', 'Performing Arts']",Florida Dancesport,5.0,14,"{'address1': '3129 W Hallandale Beach Blvd', 'address2': None, 'address3': '', 'city': 'Hallandale Beach', 'zip_code': '33009', 'country': 'US', 'state': 'FL', 'display_address': ['3129 W Hallandale Beach Blvd', 'Hallandale Beach, FL 33009']}","{'latitude': 25.986581966252057, 'longitude': -80.16843665523389}",Miami
"['Psychics', 'Psychic Mediums']",Psychic Medium Emary,5.0,5,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33184', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33184']}","{'latitude': 25.756402, 'longitude': -80.402048}",Miami
['Performing Arts'],Teatro 8,5.0,5,"{'address1': '2173 SW 8th St', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33135', 'country': 'US', 'state': 'FL', 'display_address': ['2173 SW 8th St', 'Miami, FL 33135']}","{'latitude': 25.7656596, 'longitude': -80.2303077}",Miami
"['Paint & Sip', 'Home Decor', 'Arts & Crafts']",Nailed It DIY Studio,5.0,11,"{'address1': '9224 SW 156th St', 'address2': None, 'address3': '', 'city': 'Palmetto Bay', 'zip_code': '33157', 'country': 'US', 'state': 'FL', 'display_address': ['9224 SW 156th St', 'Palmetto Bay, FL 33157']}","{'latitude': 25.6252996, 'longitude': -80.3421449}",Miami
"['Museums', 'Venues & Event Spaces']",The Social Hub Miami,5.0,27,"{'address1': '701 S Miami Ave', 'address2': 'Ste 367', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['701 S Miami Ave', 'Ste 367', 'Miami, FL 33130']}","{'latitude': 25.767044, 'longitude': -80.192742}",Miami
"['Life Coach', 'Reiki', 'Psychic Mediums']",The Witch's Garden,5.0,7,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33013', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33013']}","{'latitude': 25.84991, 'longitude': -80.27295}",Miami
"['Art Classes', 'Art Galleries', 'Paint-Your-Own Pottery']",Gumbo Limbo Pottery,5.0,15,"{'address1': '14291 SW 120th St', 'address2': 'Unit 101', 'address3': '', 'city': 'Miami', 'zip_code': '33186', 'country': 'US', 'state': 'FL', 'display_address': ['14291 SW 120th St', 'Unit 101', 'Miami, FL 33186']}","{'latitude': 25.657388603437692, 'longitude': -80.4262198140911}",Miami
"['Beer, Wine & Spirits', 'Toy Stores', 'Wine Tasting Room']",Primo Liquors Fine Wine and Cigars,5.0,106,"{'address1': '700 S Federal Hwy', 'address2': None, 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33316', 'country': 'US', 'state': 'FL', 'display_address': ['700 S Federal Hwy', 'Fort Lauderdale, FL 33316']}","{'latitude': 26.1128767, 'longitude': -80.1367855}",Miami
"['Food Court', 'Bars', 'Music Venues']",Julia & Henry's,5.0,9,"{'address1': '200 E Flagler St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33131', 'country': 'US', 'state': 'FL', 'display_address': ['200 E Flagler St', 'Miami, FL 33131']}","{'latitude': 25.77413194845079, 'longitude': -80.18988519999999}",Miami
"['Arts & Crafts', 'Paint & Sip', 'Home Decor']",Paint The Grain Studio,5.0,29,"{'address1': '5527 S University Dr', 'address2': None, 'address3': None, 'city': 'Davie', 'zip_code': '33328', 'country': 'US', 'state': 'FL', 'display_address': ['5527 S University Dr', 'Davie, FL 33328']}","{'latitude': 26.0519063, 'longitude': -80.2519315}",Miami
"['Piercing', 'Art Galleries', 'Tattoo']",The Shop Tattoo Studio,5.0,7,"{'address1': '1988 W 60th St', 'address2': None, 'address3': '', 'city': 'Hialeah', 'zip_code': '33012', 'country': 'US', 'state': 'FL', 'display_address': ['1988 W 60th St', 'Hialeah, FL 33012']}","{'latitude': 25.8763378, 'longitude': -80.3224482116394}",Miami
"['Social Clubs', 'Wine Bars', 'Bookstores']",Veni Vidi Vici Social Club,5.0,36,"{'address1': '310 NE 62nd St', 'address2': None, 'address3': '', 'city': 'Miami', 'zip_code': '33138', 'country': 'US', 'state': 'FL', 'display_address': ['310 NE 62nd St', 'Miami, FL 33138']}","{'latitude': 25.8330117, 'longitude': -80.18993689999999}",Miami
"['Life Coach', 'Psychics', 'Astrologers']",Ana Maria Pineda,5.0,6,"{'address1': None, 'address2': None, 'address3': None, 'city': 'Miami', 'zip_code': '33193', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33193']}","{'latitude': 25.6959114074707, 'longitude': -80.4456939697266}",Miami
['Art Galleries'],Laundromat Art Space,5.0,6,"{'address1': '5900 NE 2nd Ave', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33137', 'country': 'US', 'state': 'FL', 'display_address': ['5900 NE 2nd Ave', 'Miami, FL 33137']}","{'latitude': 25.8299183931093, 'longitude': -80.192353874445}",Miami
['Performing Arts'],Magic Mike Live: The Tour,5.0,64,"{'address1': '2601 Preston Rd', 'address2': None, 'address3': '', 'city': 'Frisco', 'zip_code': '75034', 'country': 'US', 'state': 'TX', 'display_address': ['2601 Preston Rd', 'Frisco, TX 75034']}","{'latitude': 33.09923986995121, 'longitude': -96.81148859999999}",Miami
"['Art Classes', 'Paint & Sip']",Painting with a Twist - Davie,5.0,140,"{'address1': '5810 S University Dr', 'address2': 'Ste 106', 'address3': None, 'city': 'Davie', 'zip_code': '33328', 'country': 'US', 'state': 'FL', 'display_address': ['5810 S University Dr', 'Ste 106', 'Davie, FL 33328']}","{'latitude': 26.047675521541834, 'longitude': -80.2482486665942}",Miami
"['Psychics', 'Life Coach', 'Meditation Centers']",Psychic Therapist - Ziva,5.0,10,"{'address1': '816 SW 24th St', 'address2': '', 'address3': None, 'city': 'Fort Lauderdale', 'zip_code': '33315', 'country': 'US', 'state': 'FL', 'display_address': ['816 SW 24th St', 'Fort Lauderdale, FL 33315']}","{'latitude': 26.092322, 'longitude': -80.151603}",Miami
['Performing Arts'],The Vanguard,5.0,5,"{'address1': '1501 S Andrews Ave', 'address2': '', 'address3': None, 'city': 'Fort Lauderdale', 'zip_code': '33316', 'country': 'US', 'state': 'FL', 'display_address': ['1501 S Andrews Ave', 'Fort Lauderdale, FL 33316']}","{'latitude': 26.1030327017309, 'longitude': -80.1430528610945}",Miami
"['Comedy Clubs', 'Performing Arts']",The Comedy Inn,5.0,27,"{'address1': '14501 S Dixie Hwy', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33176', 'country': 'US', 'state': 'FL', 'display_address': ['14501 S Dixie Hwy', 'Miami, FL 33176']}","{'latitude': 25.634922, 'longitude': -80.337614}",Miami
"['Art Galleries', 'Venues & Event Spaces', 'Music Venues']",Fusse Studios,5.0,9,"{'address1': '327 NE 59th Ter', 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33137', 'country': 'US', 'state': 'FL', 'display_address': ['327 NE 59th Ter', 'Miami, FL 33137']}","{'latitude': 25.8306412, 'longitude': -80.1900387}",Miami
"['Musicians', 'Performing Arts', 'Party Equipment Rentals']",Satori Sounds,5.0,4,"{'address1': '12355 NE 13th Ave', 'address2': 'Ste 205', 'address3': '', 'city': 'North Miami', 'zip_code': '33161', 'country': 'US', 'state': 'FL', 'display_address': ['12355 NE 13th Ave', 'Ste 205', 'North Miami, FL 33161']}","{'latitude': 25.88942, 'longitude': -80.17194}",Miami
"['Art Galleries', 'Art Consultants']",ABRA Gallery,5.0,8,"{'address1': '713 East Las Olas Blvd', 'address2': '', 'address3': '', 'city': 'Fort Lauderdale', 'zip_code': '33301', 'country': 'US', 'state': 'FL', 'display_address': ['713 East Las Olas Blvd', 'Fort Lauderdale, FL 33301']}","{'latitude': 26.119515, 'longitude': -80.135902}",Miami
"['Party & Event Planning', 'Paint & Sip', 'Art Classes']",Yaymaker,5.0,8,"{'address1': None, 'address2': '', 'address3': '', 'city': 'Miami', 'zip_code': '33130', 'country': 'US', 'state': 'FL', 'display_address': ['Miami, FL 33130']}","{'latitude': 25.7405290927732, 'longitude': -80.22216796875}",Miami
['LAN Centers'],Next Level Gaming Miami,5.0,4,"{'address1': '10772 SW 24th St', 'address2': '', 'address3': None, 'city': 'Miami', 'zip_code': '33165', 'country': 'US', 'state': 'FL', 'display_address': ['10772 SW 24th St', 'Miami, FL 33165']}","{'latitude': 25.7461, 'longitude': -80.36895}",Miami
